,Melbourne,Toronto,Prague,Paris,Tokyo,Amsterdam,Auckland,Moscow,Stockholm,London,Dallas,NewYork,Boston,Miami,Washington,Barcelona,Atlanta,Dublin,Vienna,Brisbane,Chicago,SanJose,Seattle,Tallinn,Copenhagen,Milan,Ljubljana,Frankfurt,Fremont,Singapore,Warsaw,Mexico,Kiev,Zurich,Malaysia,LosAngeles,Phoenix,Houston,Baltimore,CapeTown,Bruges,Lisbon,Helsinki,NewDelhi,Budapest,Bergen,Medellin,BuenosAires,SanAntonio,Montreal,Vancouver,Roubaix,KansasCity,Hyderabad,Jakarta,Valencia,Christchurch,Graz,Luxembourg,Cairo,Fez,Bangkok,Hanoi,Istanbul,Philadelphia,Varna,Santiago,Denver,HongKong,SanDiego,Reykjavik,Manchester,Charlotte,LasVegas,Columbus,Detroit,Portland,Halifax,Hangzhou,Chennai,SaltLakeCity,TelAviv,Newcastle,Orlando,StLouis,Coventry,Minneapolis,Sacramento,Madrid,Taipei,Tampa,Panama,SanFrancisco,SouthBend,Adelaide,Monticello,Sydney,Lima,Asheville,Pune,Manila,Seoul,Manhattan,DaresSalaam,Riyadh,Thessaloniki,Osaka,OklahomaCity,ColoradoSprings,SaoPaulo,Siauliai,Riga,Oslo,Piscataway,Nairobi,Dubai,Winnipeg,Toledo,Cleveland,Wellington,NewOrleans,Salem,Albuquerque,Austin,DesMoines,Albany,Bratislava,Dhaka,Zagreb,Honolulu,Dusseldorf,Sofia,Indore,Maidstone,Gosport,Nuremberg,Sapporo,Nis,Geneva,Raleigh,Roseburg,Gothenburg,Dagupan,Saskatoon,Montevideo,SanJuan,Perth,Vilnius,Secaucus,Karaganda,Johannesburg,Novosibirsk,Guadalajara,Shanghai,Brunswick,Pittsburgh,Strasbourg,Lahore,Edinburgh,Lausanne,Arezzo,Rome,Cardiff,Limassol,Tirana,Kazan,Palermo,Dronten,Groningen,Rotterdam,Brno,Ankara,Venice,Hamburg,Belfast,Bursa,Gdansk,Pristina,Brussels,PhnomPenh,Munich,Lugano,Ktis,Bogota,Athens,Alblasserdam,TheHague,Westpoort,Canberra,LaCeiba,Shenzhen,Bangalore,Liege,Vladivostok,Redding,Frosinone,Izmir,Bristol,Eindhoven,Indianapolis,Memphis,HoChiMinhCity,Cromwell,Bern,Syracuse,Basel,Brasilia,Savannah,Lyon,Algiers,Caracas,Lagos,Koto,Tbilisi,Valletta,Antwerp,Tunis,
Riga,303.506,115.797,36.079,46.499,254.341,32.288,310.726,21.688,8.4,38.742,142.462,111.164,105.921,139.322,107.976,51.734,128.068,55.904,33.376,321.512,127.547,181.0,167.26,6.322,20.307,39.31,28.06,32.499,166.369,183.047,25.196,167.836,46.027,37.494,197.1,177.644,158.926,146.045,117.064,175.921,42.227,71.723,6.99,173.161,50.691,21.582,186.74,251.519,148.448,116.987,170.516,40.418,134.183,170.996,365.518,59.451,308.378,62.019,36.692,76.555,90.791,201.91,228.328,64.471,110.192,72.436,245.26,155.849,323.17,172.695,83.489,59.83,126.868,172.224,127.511,123.382,164.314,127.171,219.165,166.363,153.35,87.136,46.875,141.195,135.311,41.038,130.614,178.038,58.223,287.92,139.911,180.316,176.323,136.661,343.638,127.373,313.068,208.044,125.574,152.403,327.153,295.363,106.425,153.806,106.668,67.54,201.804,152.763,145.032,216.789,7.887,0.0,18.686,102.999,199.691,142.164,195.276,133.373,130.561,308.142,141.682,104.868,149.315,147.303,138.875,123.557,32.659,309.157,29.611,212.622,35.258,53.048,165.151,32.129,34.95,30.54,163.463,73.181,41.664,117.071,171.418,22.611,278.736,146.16,268.036,142.739,313.373,4.969,109.55,69.546,202.457,63.335,169.121,211.583,110.75,121.538,33.158,214.006,42.247,41.236,48.738,46.461,49.606,104.068,69.39,35.174,62.003,29.306,33.074,61.191,48.141,79.663,53.638,20.861,35.998,83.864,17.784,82.467,35.632,229.997,44.001,35.785,35.583,188.106,57.767,34.266,33.892,30.656,291.864,107.954,232.58,173.164,36.429,117.188,199.798,44.515,83.021,46.149,33.299,129.646,138.911,252.86,111.536,35.962,110.662,43.94,264.302,155.636,50.586,71.853,189.249,134.714,209.591,89.457,58.048,51.507,74.098,
Oslo,298.929,116.326,120.334,106.081,254.586,20.171,283.848,28.132,9.619,26.412,131.07,103.967,103.584,132.629,103.445,48.847,113.222,45.986,41.108,302.203,118.499,165.415,158.868,15.523,8.904,35.136,39.452,28.534,165.366,175.242,37.477,150.023,51.093,29.611,252.245,170.29,146.679,136.35,105.247,176.706,105.326,65.035,16.423,168.156,37.204,9.263,183.065,258.703,144.731,103.526,161.994,25.857,131.826,154.263,355.784,56.266,313.834,47.717,31.937,82.72,80.371,225.913,215.592,54.409,108.907,58.157,222.052,145.406,347.639,179.436,66.632,31.654,111.672,173.36,115.905,114.755,184.671,107.611,188.874,156.977,148.437,83.337,34.567,130.356,124.994,33.377,127.678,161.039,52.151,289.466,127.003,171.255,165.783,119.744,346.444,121.662,285.933,194.477,111.794,144.48,221.999,273.953,102.14,156.527,100.943,154.867,226.214,134.592,161.619,220.912,23.354,18.686,0.0,94.184,190.569,143.618,186.167,119.649,122.503,306.034,148.478,103.512,194.116,144.248,129.089,109.874,121.239,177.18,37.198,209.495,25.103,48.986,163.451,35.862,32.863,27.478,233.323,45.416,35.002,106.804,190.526,33.827,267.818,138.84,251.454,138.573,285.657,34.63,97.185,85.498,198.08,71.194,154.698,161.815,112.742,119.395,28.453,163.075,43.591,115.463,38.499,28.141,101.878,72.289,51.968,41.772,53.271,27.345,22.738,22.199,39.766,68.637,47.138,14.693,35.979,71.256,31.979,52.251,28.569,284.196,26.74,34.406,47.176,184.637,145.622,21.487,20.319,34.408,317.359,104.38,224.651,171.888,22.691,132.432,193.406,42.216,57.888,37.385,21.876,178.876,189.02,329.11,104.44,29.459,109.182,26.642,235.029,132.065,52.676,63.653,177.852,122.475,260.572,74.557,60.036,24.149,62.053,
Piscataway,217.906,13.502,95.613,73.056,176.163,80.374,218.532,113.765,98.55,68.541,36.607,1.792,6.245,31.134,6.325,100.074,19.123,78.868,101.864,215.164,18.706,72.632,60.662,98.475,85.173,97.8,94.125,86.96,64.01,227.713,99.943,61.672,121.007,103.085,223.042,66.857,59.518,32.759,9.835,210.738,77.196,109.504,100.011,210.061,99.951,98.868,80.827,150.635,36.468,10.783,72.96,73.928,30.298,220.725,258.749,113.87,201.932,113.738,84.194,128.188,125.059,243.544,221.154,114.879,4.716,112.59,138.481,36.973,209.704,65.941,112.746,80.361,13.609,70.439,25.462,18.856,62.03,17.982,213.916,224.197,50.353,129.084,79.723,28.164,23.007,74.859,31.553,75.806,94.836,183.942,33.234,76.766,68.271,19.62,224.833,26.585,200.095,93.55,23.872,203.992,218.205,209.492,1.158,190.502,147.949,131.025,160.306,39.395,45.279,114.092,102.819,102.999,94.184,0.0,230.583,195.463,93.694,27.647,28.708,201.928,47.083,8.755,58.933,44.151,31.545,4.928,95.378,259.199,93.045,106.089,81.529,114.041,206.215,69.289,71.109,78.697,177.648,109.064,81.435,12.395,66.904,111.142,222.15,47.0,155.846,39.013,252.132,99.662,1.635,165.8,237.882,158.45,54.216,249.757,10.839,13.647,80.649,250.01,79.306,85.64,104.622,90.515,73.897,133.019,115.623,127.872,114.102,75.438,93.241,86.289,102.731,128.027,100.362,84.037,69.282,120.238,100.484,127.245,89.647,261.184,96.945,91.164,100.99,87.237,124.822,76.77,75.963,86.69,215.708,3.745,219.279,213.983,83.673,218.845,85.486,106.15,135.339,71.448,78.259,23.433,34.839,222.484,6.345,92.723,9.452,95.93,144.263,43.094,92.603,107.187,70.593,209.314,145.473,145.623,115.372,80.364,111.287,
Nairobi,431.321,254.359,199.297,183.932,407.981,174.27,425.818,206.95,187.251,172.038,265.174,236.817,230.125,258.877,256.579,168.5,253.827,182.401,195.158,459.224,254.022,295.96,308.646,186.532,194.04,163.61,170.929,178.544,290.903,395.912,191.376,292.965,197.903,183.051,337.236,309.259,285.68,260.588,234.395,200.971,186.002,204.491,203.225,314.902,179.32,200.649,312.146,405.036,266.708,239.092,303.887,166.634,257.488,293.747,416.296,204.09,469.426,216.455,165.795,211.271,210.677,276.06,375.185,200.413,226.826,206.278,407.548,278.064,397.562,305.795,203.591,181.005,243.209,304.87,250.659,246.875,282.311,247.01,317.266,279.983,270.714,216.903,180.149,271.837,253.444,181.093,277.109,297.939,201.495,393.743,257.247,302.103,295.508,239.493,450.937,259.069,430.652,323.886,265.457,260.821,284.468,434.184,232.598,90.705,180.931,234.239,379.781,259.602,267.492,362.065,198.119,199.691,190.569,230.583,0.0,196.927,343.729,261.966,253.32,442.455,283.246,235.434,274.798,271.213,266.532,234.372,196.868,270.426,171.298,309.155,169.723,205.744,271.408,158.85,160.794,181.505,405.778,198.74,161.026,242.545,293.565,213.341,3.792,273.163,384.9,283.845,427.95,184.19,227.479,252.206,196.549,238.679,283.483,331.018,237.041,252.352,172.715,286.443,179.752,185.718,188.265,190.066,176.804,197.066,214.91,210.967,198.065,179.812,165.488,178.442,200.854,214.002,171.031,184.595,165.361,219.082,202.876,214.103,174.564,442.999,182.23,192.282,178.659,316.282,225.682,169.382,179.645,166.145,432.305,230.993,272.576,311.333,164.844,323.789,306.482,205.823,210.573,175.666,168.29,250.955,265.444,445.465,235.963,201.782,241.34,194.404,363.628,272.724,183.827,216.271,298.679,226.523,407.169,230.921,198.059,169.946,217.457,
Dubai,242.304,187.597,135.249,126.606,337.882,107.712,277.942,130.253,143.564,175.505,211.912,173.461,180.561,210.64,184.109,141.469,192.551,130.454,127.072,280.289,195.151,257.527,263.308,131.45,129.056,102.396,136.544,110.047,235.751,336.943,142.03,235.493,154.353,121.315,209.197,238.597,251.876,217.204,174.108,274.203,148.634,134.838,116.271,237.747,112.949,141.283,254.552,339.426,214.067,207.054,256.908,121.813,214.102,198.205,141.202,130.761,390.799,141.326,133.508,172.07,144.034,207.593,237.077,147.544,201.649,130.563,317.04,241.855,128.183,278.591,150.559,118.26,214.091,253.98,212.036,198.987,264.173,184.805,142.752,225.602,218.615,159.18,119.807,212.808,218.44,125.835,189.316,245.721,112.579,142.187,229.583,251.485,239.591,216.767,439.201,186.863,265.096,269.198,183.149,145.06,138.533,312.266,174.412,224.719,16.398,171.479,347.927,236.459,222.437,304.965,143.203,142.164,143.618,195.463,196.927,0.0,298.42,198.754,199.799,372.99,241.714,195.661,249.486,219.356,193.863,176.477,135.282,187.912,125.705,277.223,129.869,127.101,233.814,111.202,103.816,117.568,258.622,164.489,113.949,172.261,253.9,135.146,233.331,242.834,338.014,218.018,208.393,123.16,183.894,181.391,193.027,170.658,255.326,142.462,188.13,191.518,116.71,129.249,102.852,115.981,132.296,125.961,137.585,164.969,131.732,147.748,105.684,109.118,189.113,108.338,124.837,149.231,117.412,114.156,127.601,142.351,130.551,165.536,113.165,217.121,128.28,108.439,114.644,266.547,165.537,144.235,118.933,119.685,326.991,176.538,167.72,230.279,128.542,234.266,261.977,115.649,168.301,124.307,110.571,185.682,193.38,350.705,189.025,110.517,212.786,126.424,305.343,210.321,129.688,129.096,263.699,212.015,332.27,202.977,155.329,117.398,114.225,
Winnipeg,217.721,79.271,203.684,175.857,173.618,166.782,218.397,214.659,181.343,161.227,98.342,104.67,102.547,114.402,95.017,200.632,94.283,180.854,193.983,214.867,85.047,48.938,31.062,185.253,194.613,197.484,180.653,176.878,49.069,207.0,199.677,102.834,229.79,194.632,222.347,61.842,70.189,99.928,99.395,302.087,176.499,211.008,191.049,325.698,211.882,186.569,170.864,251.17,110.072,84.276,27.138,166.086,71.705,297.121,220.223,204.917,201.278,220.952,185.942,222.989,218.431,236.819,220.346,238.419,105.513,199.513,225.134,61.815,182.563,64.668,196.6,172.019,106.326,67.684,88.73,76.63,33.892,102.814,230.951,316.875,87.64,218.375,174.444,112.763,78.049,163.058,92.666,56.044,177.227,282.795,109.035,144.87,51.769,87.238,186.188,86.884,198.454,174.686,108.631,322.125,215.21,165.86,96.923,299.194,256.292,240.625,163.917,79.129,62.625,210.437,198.249,195.276,186.167,93.694,343.729,298.42,0.0,98.801,80.27,185.846,112.546,106.816,79.234,91.692,79.935,114.207,203.369,269.914,180.016,100.659,187.616,217.613,315.603,168.899,171.108,172.542,152.716,199.352,185.284,106.312,38.915,207.992,190.798,58.604,242.945,135.763,253.005,215.477,96.905,255.819,326.056,249.736,104.214,206.776,102.512,94.844,176.254,287.694,166.596,187.572,204.102,186.634,171.956,228.791,225.707,220.18,239.184,187.325,178.033,171.951,192.262,227.531,200.011,172.055,153.928,224.247,200.904,214.119,175.767,203.634,195.235,191.867,201.723,174.301,221.984,181.776,182.76,184.344,204.585,99.496,161.24,283.522,166.444,315.94,102.606,199.358,236.211,171.788,165.731,97.584,116.828,210.77,110.825,198.759,100.577,197.44,232.586,117.631,187.957,204.545,151.976,292.093,129.855,252.851,203.509,169.262,230.721,
Toledo,225.71,25.472,125.053,100.353,160.073,102.132,227.005,141.552,123.141,96.747,36.276,26.724,26.942,43.17,19.483,117.36,21.158,106.226,123.2,223.14,13.375,62.727,59.779,127.995,113.328,122.404,122.219,108.164,57.39,226.185,131.679,59.994,159.845,124.679,213.272,73.238,63.917,44.941,28.417,236.906,104.981,138.991,124.261,240.024,131.955,139.878,102.447,180.561,48.068,29.496,70.122,104.17,25.373,279.988,273.832,122.967,207.85,126.625,109.569,160.955,154.655,263.292,243.976,137.474,23.795,137.76,152.889,38.614,210.096,65.974,139.978,100.114,31.865,73.771,17.479,7.361,62.049,44.227,199.74,235.014,54.72,153.48,104.251,40.002,36.354,98.701,27.849,67.385,122.572,179.843,49.189,91.823,68.355,16.828,221.038,19.692,282.023,108.22,36.853,211.578,223.002,201.048,27.754,222.776,180.3,161.372,156.299,40.521,42.944,139.053,128.626,133.373,119.649,27.647,261.966,198.754,98.801,0.0,19.715,203.215,49.228,27.398,70.299,37.79,34.385,30.16,125.406,253.058,121.529,99.205,109.022,141.174,302.145,95.507,96.723,106.304,165.9,134.675,109.08,25.194,66.488,133.495,232.613,41.546,173.55,62.999,261.124,143.916,22.075,198.597,264.194,187.961,61.199,227.657,37.942,25.592,115.839,230.061,104.824,113.729,122.7,117.145,98.143,166.657,144.697,156.578,138.036,107.424,108.206,105.694,122.391,150.155,125.293,108.789,110.179,150.087,128.886,148.145,106.129,257.789,117.179,129.099,118.943,105.275,153.385,101.958,101.54,101.089,223.945,24.144,161.325,261.481,104.088,235.431,57.39,133.751,157.975,97.421,102.674,13.259,38.546,213.791,18.492,130.999,23.141,119.53,156.239,47.231,117.419,137.086,82.893,298.172,157.96,182.382,141.077,104.409,134.174,
Cleveland,243.633,29.93,132.082,102.362,130.705,97.295,280.654,147.26,119.028,90.418,33.511,31.068,29.313,39.963,30.907,124.768,23.737,86.175,115.369,259.993,21.77,52.959,50.311,126.744,110.301,115.897,120.034,116.873,68.585,238.175,124.767,53.074,139.953,110.514,204.37,81.783,72.203,36.161,33.88,240.511,103.475,130.473,129.404,241.154,122.506,134.411,88.805,180.351,46.465,36.838,55.008,98.549,37.306,268.419,228.413,112.482,200.237,117.515,112.273,154.153,153.762,251.922,227.168,143.254,32.883,137.258,155.222,29.317,182.37,79.127,131.876,95.211,40.231,68.34,28.084,19.49,70.86,44.206,217.984,235.291,63.123,149.872,103.84,50.83,27.202,104.49,35.04,77.393,96.803,172.128,40.472,84.334,62.983,19.078,227.213,38.158,242.493,108.094,47.696,241.434,214.34,196.103,25.691,221.11,196.314,142.418,147.94,39.675,44.072,151.085,129.636,130.561,122.503,28.708,253.32,199.799,80.27,19.715,0.0,234.538,49.349,34.147,72.097,48.53,43.322,30.773,131.206,258.852,120.334,112.511,104.046,127.128,227.041,94.032,95.639,109.336,150.33,127.753,115.079,30.656,73.65,127.011,226.735,33.822,164.385,59.237,242.113,135.816,27.635,186.993,247.33,180.71,71.134,228.353,38.425,25.009,107.136,292.332,100.895,114.876,121.583,112.249,96.456,158.917,142.861,154.192,148.204,100.375,104.745,102.67,113.789,148.651,131.593,107.021,98.922,144.518,128.843,150.328,112.397,214.331,116.427,118.749,129.924,93.833,159.299,107.83,105.448,98.607,222.214,28.991,244.465,241.487,107.549,237.943,79.963,125.772,175.807,96.726,99.552,14.775,28.818,237.938,41.854,112.98,27.085,113.133,152.858,50.405,110.247,132.511,100.24,183.556,131.251,176.744,148.772,110.094,145.919,
Wellington,36.369,204.979,305.221,278.458,252.863,282.345,0.615,309.422,299.532,270.849,170.749,204.386,206.311,205.309,195.064,287.28,193.563,284.634,293.676,42.514,188.313,135.299,155.736,341.574,280.54,294.757,338.067,285.528,157.771,114.347,306.896,204.26,330.656,292.246,266.681,148.848,154.034,173.706,196.223,425.722,280.183,324.734,333.295,389.291,309.751,296.077,249.105,323.328,193.38,218.355,0.0,274.011,215.57,348.457,258.908,309.952,15.626,329.448,285.631,330.738,336.135,289.618,422.416,320.116,208.84,324.669,319.743,164.767,292.764,151.642,320.562,285.837,203.321,178.609,204.044,230.428,195.906,264.746,243.086,331.282,165.017,337.578,281.985,210.057,185.048,295.511,185.422,157.299,288.693,212.268,250.732,246.062,150.053,189.76,44.898,212.906,25.742,261.308,196.186,368.397,336.122,269.733,202.277,356.827,360.345,343.457,142.901,182.165,181.026,305.38,308.786,308.142,306.034,201.928,442.455,372.99,185.846,203.215,234.538,0.0,182.955,209.29,214.059,203.435,222.414,201.7,306.13,387.843,337.28,216.897,290.483,318.141,366.467,272.509,282.459,282.936,267.107,313.623,288.473,201.185,183.325,318.016,298.963,233.566,326.835,237.127,69.88,333.978,214.636,364.418,453.019,362.095,199.318,312.117,254.64,192.478,276.503,362.11,279.87,289.074,296.831,289.835,275.163,342.774,327.865,337.73,320.022,288.785,287.322,283.942,299.655,324.77,302.414,289.541,311.333,326.831,308.777,318.876,280.0,352.787,293.815,317.831,309.125,256.668,333.816,318.087,284.26,288.035,28.06,217.438,287.715,335.321,293.623,438.159,172.593,0.0,337.014,274.424,283.924,212.837,211.182,317.273,213.207,289.398,203.163,299.32,342.417,204.487,298.735,307.672,245.964,371.469,138.1,366.675,313.005,287.287,313.859,
NewOrleans,251.11,45.806,147.711,122.195,169.473,120.743,287.944,163.274,141.375,124.94,15.66,47.591,45.21,34.831,43.17,140.104,32.759,125.969,143.016,267.783,36.109,50.685,72.668,141.426,133.488,131.519,137.685,125.37,52.179,226.3,146.075,37.133,171.391,127.029,226.188,44.747,36.223,17.935,49.074,256.209,125.644,156.744,144.806,270.689,181.42,158.595,106.564,166.599,21.709,51.481,66.029,125.687,37.871,252.461,242.832,127.453,182.962,150.815,131.974,186.583,182.36,273.345,307.968,165.554,48.532,157.639,165.536,43.34,204.678,45.453,159.528,122.701,37.846,54.916,41.866,38.188,68.528,64.313,252.918,253.844,56.59,175.212,125.161,41.126,40.59,112.441,40.177,57.918,137.888,178.646,29.949,87.962,54.379,35.828,224.945,37.565,249.993,104.031,48.693,255.554,202.298,182.582,41.164,245.746,198.252,171.365,149.521,21.193,29.0,146.722,148.434,141.682,148.478,47.083,283.246,241.714,112.546,49.228,49.349,182.955,0.0,56.176,47.906,44.225,58.705,49.609,147.058,263.874,135.319,94.677,117.062,159.336,242.711,115.123,120.305,119.551,180.444,151.578,125.972,45.682,74.824,141.886,207.097,55.788,167.841,69.437,250.513,145.937,42.214,213.045,262.342,200.931,40.725,218.135,49.461,49.871,135.013,260.494,124.218,129.842,141.121,135.146,121.101,187.972,157.041,173.906,161.668,121.186,137.488,116.505,131.05,164.921,143.925,127.709,117.131,176.383,141.858,161.757,128.71,249.735,133.389,139.119,138.759,98.115,176.741,116.252,121.378,120.419,211.445,49.814,266.238,242.222,128.407,254.424,68.525,143.429,176.46,116.73,117.227,45.215,44.196,235.212,52.823,129.788,52.632,129.81,160.627,51.656,127.042,168.823,80.474,241.863,148.618,204.104,159.413,125.22,158.581,
Salem,256.629,22.131,90.55,71.473,185.315,71.905,294.002,118.318,95.41,69.779,46.625,8.231,1.691,38.445,14.031,101.379,24.157,73.62,89.079,275.561,24.75,71.889,78.237,107.281,85.301,98.263,112.199,85.296,75.465,244.217,92.665,73.355,115.513,87.684,254.224,73.458,60.393,43.798,16.082,211.526,72.883,110.408,100.238,205.748,107.113,102.169,94.057,169.786,47.873,10.187,73.487,72.246,35.828,261.641,263.097,95.478,224.482,103.796,78.047,134.678,132.549,249.035,252.045,128.48,9.576,111.179,138.984,47.631,214.659,70.98,110.04,69.29,21.198,80.813,26.028,20.191,80.045,23.62,247.545,235.659,72.799,136.634,70.047,33.898,29.918,75.234,35.313,76.873,87.47,198.367,39.83,82.565,76.409,21.514,232.836,31.81,258.36,100.011,30.893,194.261,237.486,202.218,8.282,198.834,167.189,124.944,171.928,42.196,48.578,131.437,106.883,104.868,103.512,8.755,235.434,195.661,106.816,27.398,34.147,209.29,56.176,0.0,75.285,51.885,30.352,10.787,90.64,246.538,106.588,119.137,74.901,106.345,297.596,65.259,66.867,83.081,200.79,113.111,81.349,19.598,91.142,105.332,225.106,48.177,166.1,45.874,258.69,105.203,7.665,157.73,229.162,158.017,60.147,161.736,5.185,19.323,85.631,193.707,78.923,82.651,99.759,90.272,68.251,128.184,112.49,129.384,121.051,72.712,79.875,70.182,105.188,125.077,95.698,80.689,63.682,121.509,105.12,127.468,84.915,266.279,84.433,92.787,91.644,98.167,118.043,70.383,70.655,71.371,231.302,10.432,203.61,277.382,75.851,211.082,80.804,101.788,126.159,66.876,79.002,26.246,40.383,245.285,11.54,89.176,8.306,89.977,161.482,45.862,93.201,100.78,72.315,215.813,187.631,147.543,115.987,80.835,123.218,
Albuquerque,229.557,55.166,166.009,142.578,138.107,131.828,266.492,172.068,158.96,163.038,31.456,60.449,59.948,67.334,61.035,161.218,59.955,127.582,152.949,246.265,56.369,32.947,51.554,168.264,142.487,160.53,158.503,143.641,31.271,202.566,161.495,79.172,162.61,145.824,199.157,28.104,31.696,38.991,70.23,277.262,144.189,177.074,167.066,277.579,181.547,179.741,117.654,188.76,34.606,61.837,52.813,152.067,68.604,249.503,213.029,145.756,172.807,156.074,153.292,192.093,196.457,246.651,315.288,190.366,59.766,178.959,193.325,32.164,177.631,23.638,198.272,140.439,70.654,39.164,62.729,46.874,46.065,89.61,180.217,248.79,34.173,205.62,137.14,62.339,54.855,121.595,44.169,35.921,138.288,176.259,57.586,129.682,42.579,35.379,211.983,41.715,229.264,137.4,69.666,259.957,181.39,155.218,58.474,266.92,220.934,200.925,142.319,48.318,30.363,167.672,169.384,149.315,194.116,58.933,274.798,249.486,79.234,70.299,72.097,214.059,47.906,75.285,0.0,64.277,80.258,70.697,165.485,260.108,157.493,71.261,136.149,160.246,247.122,125.952,136.998,130.427,146.976,161.594,145.167,59.87,60.769,179.217,179.432,60.244,186.938,92.434,229.874,164.397,68.477,234.055,270.906,211.157,36.031,184.166,65.794,56.957,159.668,279.511,145.212,147.467,164.736,146.668,138.289,211.372,178.543,186.438,191.995,122.096,142.423,132.739,148.573,189.127,156.252,138.713,134.735,198.002,148.007,179.865,149.787,219.58,148.308,168.68,150.105,118.475,195.092,140.747,140.551,131.706,244.345,62.786,280.088,248.02,141.305,273.303,42.369,169.077,188.406,127.751,133.211,56.289,65.392,234.921,65.83,132.875,71.042,148.353,181.698,76.782,161.939,192.133,109.895,261.668,130.323,216.692,180.658,148.514,189.52,
Austin,243.296,45.641,146.712,122.33,136.552,111.2,280.357,154.342,132.356,117.018,24.957,43.251,46.094,46.588,40.957,135.554,29.706,117.583,132.211,260.066,30.823,47.85,55.3,136.563,129.139,143.412,136.568,121.873,49.2,227.937,144.53,38.737,157.512,128.132,209.521,59.954,43.438,34.58,38.653,257.225,127.363,145.624,136.497,270.259,140.308,149.481,103.776,169.804,13.679,48.083,58.363,144.565,14.238,243.586,232.501,137.031,190.983,136.454,127.636,173.369,163.086,248.334,230.953,168.234,47.081,151.857,155.011,24.951,183.203,60.58,153.525,110.745,46.424,70.452,38.4,31.728,52.78,58.202,183.064,250.762,42.11,164.353,122.505,50.183,27.423,120.325,43.308,56.535,112.474,178.973,63.211,101.848,69.821,40.481,223.12,37.049,243.094,114.742,44.118,252.376,204.757,174.106,43.257,242.136,212.242,162.503,149.114,27.099,32.856,146.466,146.607,147.303,144.248,44.151,271.213,219.356,91.692,37.79,48.53,203.435,44.225,51.885,64.277,0.0,22.182,50.588,146.746,249.474,135.515,97.441,121.244,147.217,249.585,111.18,111.992,119.294,154.226,146.243,126.472,44.653,63.892,165.749,211.596,45.997,175.585,78.776,243.694,151.435,47.155,207.781,267.574,198.334,51.613,285.483,49.809,53.257,140.394,284.84,121.983,126.417,135.371,135.703,114.577,181.035,159.036,169.93,160.296,116.258,121.683,123.33,130.338,161.138,139.456,123.881,127.126,169.058,146.501,170.517,124.022,217.65,147.52,139.829,147.616,111.601,176.833,126.566,124.798,116.966,259.259,47.026,161.487,240.269,124.909,246.97,52.459,148.466,171.904,122.338,117.857,39.331,56.493,237.424,43.913,128.851,48.116,131.204,166.436,54.222,127.947,146.544,80.316,216.151,152.266,205.565,159.534,120.859,167.151,
DesMoines,237.252,30.914,126.311,99.403,130.341,109.995,274.303,149.255,130.507,101.054,20.438,28.16,39.949,43.949,39.067,129.151,31.045,101.169,125.556,253.117,9.465,43.023,49.37,135.662,120.364,123.439,129.233,116.093,42.993,248.292,132.254,58.984,152.069,121.08,202.763,52.585,36.759,48.942,38.191,252.716,100.532,137.096,133.591,247.554,137.353,138.392,94.655,185.508,35.701,32.884,52.147,113.914,8.874,237.7,226.335,122.731,192.142,131.321,114.399,167.223,147.472,229.239,221.932,156.509,29.703,144.036,164.098,19.47,177.759,50.054,138.47,99.665,29.742,49.348,22.152,21.57,49.631,53.659,202.305,234.515,28.908,159.9,104.561,44.722,13.811,112.87,21.346,61.809,104.181,181.208,38.643,86.876,70.899,10.882,210.979,19.146,237.003,120.333,42.974,228.716,198.377,195.576,37.841,238.124,203.275,160.577,142.994,15.051,20.094,151.673,143.885,138.875,129.089,31.545,266.532,193.863,79.935,34.385,43.322,222.414,58.705,30.352,80.258,22.182,0.0,41.917,127.453,256.994,128.552,92.554,112.904,140.307,269.1,104.1,101.705,119.835,147.155,140.28,121.927,38.455,57.867,144.006,204.939,34.906,171.079,62.736,236.649,141.514,32.541,190.904,259.736,190.505,45.453,212.058,37.972,21.601,124.532,255.585,109.505,110.912,132.326,125.393,102.566,153.343,145.126,162.557,142.235,110.979,116.006,121.081,124.086,157.997,123.416,119.041,96.571,165.788,140.264,152.794,119.389,211.915,125.516,123.912,139.485,99.643,153.113,105.507,113.069,109.644,198.22,32.827,198.26,235.547,110.054,250.248,52.756,132.235,158.039,101.494,114.108,27.379,35.573,233.149,38.389,124.56,23.982,123.054,159.434,51.695,121.645,128.482,85.278,199.725,171.088,184.311,153.508,121.93,156.184,
